Lake O' Higgins;Argentina / Chile
Lake Obelija;Lithuania
Lake Ogawara;Japan
Oguta Lake;Nigeria
Lake Ohrid;Albania / Macedonia
Okanagan Lake;Canada
Lake Okeechobee;USA
Okutama Reservoir ( Ogochi );Japan
Lake Onega;Russia
Lake Ontario;Canada / USA
Opinaca Reservoir;Canada
Lake Orta;Italy
Lake Oulu;Finland
Owasco Lake;USA
Lake Oze;Japan
Lake Paajarvi;Finland
Lake Paanajarvi;Russia
Lake Paijanne;Finland
Panchet Reservoir;India
Lake Pangong;China / India
Lake Parakrama;Sri Lanka
Patos Lagoon;Brazil
Lake Patzcuaro;Mexico
Lake Peipsi ( Chudskoe );Estonia / Russia
Lake Peipus ( Chudsko-Pskov/Peipsi-Pihkva );Estonia / Russia
Pellegrini;Argentina
Lake Phewa;Nepal
Piedra Del Aguila Reservoir;Argentina
Lake Pielinen;Finland
Pipmuacan;Canada
Lake Piso;Liberia
Plitvice Lakes;Croatia
Poechos Reservoir;Peru
Lake Pomo;China
Lake Pontchartrain;USA
Lake Poopo;Bolivia
Porto Primavera Reservoir;Brazil
Powai Lake;India
Poyang Lake;China
Lake Prespa;Albania / Greece / Macedonia
Proletarskoye Reservoir;Russia
Promissao Reservoir;Brazil
Puelo Lake;Argentina
Pulicat Lake;India
Pyasino;Russia
Pyramid Lake;USA
Lake Qilin;China
Qinghai Lake;China
Lake Qionghai;China
Qullen Lake;Argentina
Rainy Lake;Canada / USA
Rana Pratap Sagar Reservoir;India
Lake Ranco;Chile
Ranjit Sagar Dam Lake;India
Lake Rara;Nepal
Red Lake;USA
Lake Ree;Ireland
Reindeer Lake;Canada
Lake Rinihue;Chile
Rio Hondo Reservoir;Argentina
Rio Tercero I Reservoir;Argentina
Rivadavia Lake;Argentina
Lake Rocha;Uruguay
Lake Rogaguado;Bolivia
Lake Ronge;Canada
Roosevelt Lake;USA
Rosana Reservoir;Brazil
Roseires Reservoir;Sudan
Lake Rotorua;New Zealand
Lake Ruhondo;Rwanda
Lake Rukwa;Tanzania
Lake Rwanyakizinga;Rwanda
Lake Rweru;Burundi / Rwanda
Rybinsk Reservoir;Russia
Sagami Reservoir;Japan
Lake Sagar;India
Saguaro Lake;USA
Lake Saguling;Indonesia
Lake Saimaa;Finland
Lake Saint-John ( Saint-Jean );Canada
Lake Sake;Rwanda
Salto Grande Reservoir;Brazil
Lake Salto Grande;Argentina / Uruguay
Salton Sea;USA
Samuel Reservoir;Brazil
San Roque Reservoir;Argentina
Lake Sancha;China
Lake Sapanca;Turkey
Saratovskoye Reservoir;Russia
Sardar Sarovar Dam Reservoir;India
Lake Saroma;Japan
Sarygamysh Lake;Turkmenistan / Uzbekistan
Sasykkol;Kazakhstan
Sayanskoye Reservoir;Russia
Lake Segozero;Russia
Selawik Lake;USA
Seletyteniz;Kazakhstan
Seneca Lake;USA
Sennar Reservoir;Sudan
Lake Sentarum;Indonesia
Lake Seul;Canada
Lake Sevan;Armenia
Lake Shala;Ethiopia
Shardara Reservoir;Kazakhstan / Uzbekistan
Sheksninskoye Reservoir ( Beloye );Russia
Shey Phoksundo Lake;Nepal
Loch Shiel;UK
Lake Shikotsu;Japan
Lake Shinji;Japan
Lake Shlavantas;Lithuania
Lake Shumarinai;Japan
Shuswap Lake;Canada
Lake Sibaya;South Africa
Lake Simcoe;Canada
Singkarak;Indonesia
Lake Skadar;Albania / Montenegro
Skaha Lake;Canada
Lake Slapy;Czech
Smallwood Reservoir;Canada
Smith Mountain Lake;USA
Lake Sniardwy;Poland
Sobradinho Reservoir;Brazil
Somasila Reservoir;India
Lake Songkhla;Thailand
Southern Indian Lake;Canada
St. Clair Lake;Canada / USA
Starnberger See ( Lake Starnberg );Germany
Lake Stechlin;Germany
Lake Superior;Canada / USA
Lake Suwa;Japan
Szczecin Lagoon ( Oder );Germany / Poland
Lake Taal;Philippines
Lake Tahoe;USA
Lake Tai;China
Takiyuak Lake;Canada
Lake Tana;Ethiopia
Lake Tanganyika;Burundi / Congo ( Dem. Rep. ) / Tanzania / Zambia
Lake Tangra;China
Taquarucu Reservoir;Brazil
Tarbela Reservoir;Pakistan
Tasek Bera ( Bera );Malaysia
Lake Taupo;New Zealand
Lake Taymyr;Russia
Lake Tazawa;Japan
Tchardarinskoye Reservoir;Kazakhstan
Tega-numa;Japan
Tengiz;Kazakhstan
Lake Terhiyn Tsagaan;Mongolia
Lake Terinam;China
Terminos Lagoon;Mexico
Teshekpuk Lake;USA
Lake Tharthar;Iraq
The West Lake ( Xi Hu );China
Lake Thingvalla;Iceland
Lake Titicaca;Bolivia / Peru
Tjeuke meer;Netherlands
Lake Toba;Indonesia
Lake Todos los Santos;Chile
Tonle Sap;Cambodia
Topopyozerskoye Reservoir;Russia
Lake Torrens;Australia
Lake Towada;Japan
Lake Toya;Japan
Lake Trasimeno;Italy
Lake Traunsee;Austria
Tres Irmaos Reservoir;Brazil
Lake Trummen;Sweden
Tsimlyansk Reservoir;Russia
Tucurui Reservoir;Brazil
Tulsi Lake;India
Lake Tumba;Congo ( Dem. Rep. )
Tungabhadra Reservoir;India
Lake Turkana ( Rudolf );Ethiopia / Kenya
Lake Tuz;Turkey
Twin Lakes;USA
Lake Ubinskoe;Russia
Ubolratana Reservoir;Thailand
Udawalawa Reservoir;Sri Lanka
Uglich Reservoir;Russia
Ullswater;UK
Lake Ulu Lepar System;Malaysia
Lake Ulungur;China
Lake Upemba;Congo ( Dem. Rep. )
Upper Klamath Lake;USA
Upper Lough Erne;UK
Lake Urmia;Iran
Lake Uru Uru;Bolivia
Ust-Ilimskoye Reservoir;Russia
Lake Uvildy;Russia
Lake Uvs;Mongolia
Lake Valencia;Venezuela
Lake Van;Turkey
Lake Vanajavesi;Finland
Lake Vanern;Sweden
Varna Lake;Bulgaria
Lake Vattern;Sweden
Veersemeer;Netherlands
Velencei-to;Hungary
Veluwemeer;Netherlands
Lake Victoria;Kenya / Tanzania / Uganda
Lake Viedma;Argentina
Vihar Lake;India
Viluyskoe Reservoir;Russia
Volgograd Reservoir;Russia
Volta Lake;Ghana
Volta Grande Reservoir;Brazil
Lake Volvi;Greece
Voronegskoe Reservoir;Russia
Lake Vortsjarv;Estonia
Votkinskoye Reservoir;Russia
Vygozersko-Ondskoye Reservoir ( Vyg );Russia
Wabamun Lake;Canada
Lake Washington;USA
Wastwater;UK
Webster Lake;USA
Lake Wei-shan;China
Lake Weija;Ghana
Lake West ( Ho-Tay );Viet Nam
Western Brook Pond;Canada
Wigry;Poland
Williston Lake;Canada
Windermere;UK
Lake Winnipeg;Canada
Lake Winnipegosis;Canada
Wolfgangsee;Austria
Wollaston Lake;Canada
Wood Lake;Canada
Lake Woods;Canada / USA
Xavantes Reservoir;Brazil
Lake Xiaonanhai;China
Yacyreta P.P. Reservoir;Argentina / Paraguay
Lake Yamdrok;China
Yathkyed Lake;Canada
Lake Ypacarai;Paraguay
Yuqiao Reservoir;China
Lake Zaysan;Kazakhstan
Zeekoevlei;South Africa
Zeiskoye Reservoir;Russia
Lake Ziway;Ethiopia
Lake Zug;Switzerland
Zurich See;Switzerland
